latitude,longitude,frp,,,
-32.653,121.962,37.9,,,
-32.424,123.142,28.2,,,
-32.627,121.997,16.9,,,
-32.432,123.034,11,,,
-32.413,123.076,100.7,,,
-31.848,121.496,54.8,,,
-32.401,123.102,59.9,,,
-32.422,123.068,132.8,,,
-32.54,123.326,18.3,,,
-32.558,123.402,11.4,,,
-32.582,122.241,19.6,,,
-33.251,122.25,63.9,,,
-31.547,151.451,13.1,,,
-18.353,145.37,48.2,,,
-29.1,150.793,13.8,,,
-15.968,142.261,79.5,,,
-35.812,136.61,219.4,,,
-12.726,132.625,24.9,,,
-32.425,123.154,36.3,,,
-32.433,123.076,177.1,,,
-32.453,123.148,25.3,,,
-32.53,123.369,20.5,,,
-32.557,123.364,199.8,,,
-32.455,122.051,29,,,
-32.465,122.059,30,,,
-32.473,122.047,115.5,,,
-32.438,121.411,46.4,,,
-32.439,121.297,33.3,,,
-32.605,122.311,56,,,
-32.614,122.309,60.9,,,
-32.62,122.286,128.3,,,
-32.619,122.22,8,,,
-32.635,122.326,87.3,,,
-32.641,122.303,435.5,,,
-32.648,122.295,42.7,,,
-32.613,121.938,29,,,
-32.632,121.945,120.4,,,
-32.643,121.954,54,,,
-32.661,122.072,592.4,,,
-32.662,122.017,215.7,,,
-32.664,121.972,206.1,,,
-32.677,122.058,260,,,
-32.683,122.034,161.9,,,
-32.689,122.011,376.7,,,
-32.695,121.993,189.8,,,
-32.711,121.978,101.5,,,
-33.229,122.236,9.3,,,
-33.249,122.243,188.6,,,
-30.862,123.343,56.1,,,
-31.864,121.511,41.3,,,
-31.876,121.479,207.8,,,
-31.905,121.485,16.6,,,
-31.657,119.753,39.8,,,
-32.282,123.304,8.6,,,
-36.683,146.592,24,,,
-35.607,147.894,48.2,,,
-33.766,150.434,87.2,,,
-35.826,137.158,66.3,,,
-35.82,137.137,16.3,,,
-35.862,136.585,684.6,,,
-35.827,136.61,33.2,,,
-35.794,136.619,88.2,,,
-35.785,136.641,40.4,,,
-32.665,150.854,111.5,,,
-17.946,144.049,105.7,,,
-14.569,144.141,240.5,,,
-33.208,123.336,327,,,
-33.205,123.729,235.1,,,
-32.871,124.082,961.4,,,
-32.926,123.765,99.6,,,
-32.927,123.631,129.9,,,
-32.859,124.045,649.4,,,
-32.91,123.674,633.9,,,
-32.894,123.616,39.8,,,
-32.766,124.073,410.7,,,
-32.583,123.39,193.4,,,
-32.585,123.313,465.2,,,
-32.554,123.33,640,,,
-32.543,123.397,54.5,,,
-32.545,123.319,665.7,,,
-32.48,123.171,73.6,,,
-32.716,122.038,221.5,,,
-32.658,122.258,418.1,,,
-32.495,123.12,76.6,,,
-32.726,121.972,45.7,,,
-32.702,122.029,104.1,,,
-32.637,122.291,251.5,,,
-32.694,122.005,46.9,,,
-32.637,122.225,174.9,,,
-32.448,123.081,175.6,,,
-32.654,122.079,202.7,,,
-32.44,123.054,474.5,,,
-32.638,122.096,173.9,,,
-32.404,123.093,114.9,,,
-32.602,122.085,58.6,,,
-32.654,121.924,43.8,,,
-32.626,121.937,80.4,,,
-32.313,123.21,77,,,
-32.277,123.273,124.5,,,
-32.464,122.034,163.7,,,
-32.461,121.394,80.1,,,
-32.441,121.402,63.2,,,
-32.443,121.268,44.5,,,
-32.259,121.378,70.8,,,
-31.951,121.621,102.5,,,
-31.934,121.548,637.7,,,
-31.891,121.516,90.6,,,
-31.894,121.437,145.1,,,
-31.875,121.507,138.2,,,
-31.863,121.443,72.8,,,
-31.67,119.754,40.2,,,
-30.875,123.332,239.7,,,
-32.971,123.752,72.5,,,
-29.382,152.222,15,,,
-35.819,147.572,20.5,,,
-31.751,151.804,5.9,,,
-29.38,152.235,8.9,,,
-36.654,146.615,38.5,,,
-35.818,136.595,25.3,,,
-32.955,123.714,30.6,,,
-32.866,124.055,48.1,,,
-32.799,124.021,41.4,,,
-32.752,124.096,41.4,,,
-32.745,124.09,25.7,,,
-32.737,121.97,127.6,,,
-32.676,122.181,119.8,,,
-32.66,122.18,102.1,,,
-32.651,122.072,29.8,,,
-32.644,121.925,72.9,,,
-32.647,122.208,62.1,,,
-32.651,121.919,43.9,,,
-32.51,123.081,162.8,,,
-32.476,123.138,62.4,,,
-32.457,122.983,71.3,,,
-32.484,123.011,199.9,,,
-32.438,123.038,46.2,,,
-32.458,122.044,39.7,,,
-32.35,123.205,34.1,,,
-32.303,123.225,21.1,,,
-31.902,121.435,68.8,,,
-31.89,121.505,51.1,,,
-31.057,123.723,175.3,,,
-24.588,151.491,15.8,,,
-36.753,146.68,29.3,,,
-36.654,146.606,18.2,,,
-35.809,147.628,15.3,,,
-35.559,148.437,18.1,,,
-32.489,123.007,14.4,,,
-32.506,123.066,13.1,,,
-32.604,123.284,55.3,,,
-32.793,124,25.4,,,
-32.62,121.936,12.1,,,
-32.693,122.175,11.1,,,
-32.95,123.728,12.5,,,
-33.195,123.33,11.8,,,
-31.93,121.638,8.3,,,
-31.923,121.374,17.1,,,
-32.411,123.026,29.8,,,
-32.458,122.999,17.4,,,
-32.475,123.063,12.6,,,
-31.85,121.467,18.6,,,
-31.869,121.464,22.2,,,
-31.877,121.451,25.7,,,
-31.883,121.427,49.6,,,
-31.902,121.573,5.5,,,
-31.9,121.481,13.4,,,
-18.865,140.326,23.3,,,
-14.691,143.979,41.9,,,
-16.231,143.996,19.4,,,
-17.078,144.723,14.9,,,
-32.847,124.01,73.6,,,
-35.933,137.1,13.4,,,
-35.773,136.603,165.5,,,
-32.888,124.089,120.4,,,
-32.72,122.074,103.4,,,
-32.733,122.038,216.3,,,
-32.867,124.294,273.6,,,
-32.765,122.035,532.6,,,
-32.715,122.069,588.2,,,
-32.845,124.24,748.9,,,
-32.854,124.044,168.1,,,
-32.87,123.995,387,,,
-32.89,124.042,156.8,,,
-32.907,124.034,871.9,,,
-32.983,123.74,197.8,,,
-30.858,123.336,84.3,,,
-31.059,123.732,232.1,,,
-31.871,121.469,79.4,,,
-31.9,121.466,395.4,,,
-31.877,121.557,34.4,,,
-31.904,121.522,41.6,,,
-31.936,121.551,111.7,,,
-32.326,123.174,986,,,
-32.331,123.166,605.2,,,
-32.424,123.036,519.5,,,
-32.482,123.156,186.3,,,
-32.468,123.111,99.2,,,
-32.494,122.986,73.7,,,
-32.515,123.066,238.9,,,
-32.546,123.023,866.4,,,
-32.504,123.059,852.2,,,
-32.436,121.437,58.4,,,
-32.507,122.284,66.6,,,
-32.494,121.4,171.3,,,
-32.489,121.332,37.4,,,
-32.61,122.234,138.9,,,
-32.633,122.342,426.7,,,
-32.648,122.341,239.2,,,
-32.664,122.34,238.7,,,
-32.678,122.302,499,,,
-32.693,122.3,536.6,,,
-32.629,122.117,317.3,,,
-32.653,122.26,276.8,,,
-32.671,122.295,216.7,,,
-32.689,122.33,179.9,,,
-32.707,122.366,95.8,,,
-32.723,122.365,698.5,,,
-29.389,152.223,28.4,,,
-29.048,150.789,78.4,,,
-25.612,152.984,91.6,,,
-25.41,149.251,21.9,,,
-24.945,149.466,108.6,,,
-21.392,147.093,53.1,,,
-19.71,143.744,182.8,,,
-35.819,147.596,121.7,,,
-35.569,148.396,48.5,,,
-32.668,150.048,52.3,,,
-31.584,152.081,24.5,,,
-30.536,150.83,23.4,,,
-14.947,144.267,144.2,,,
-35.822,136.858,169.2,,,
-35.795,136.595,342.5,,,
-33.88,123.22,10.9,,,
-32.869,124.268,0,,,
-32.83,124.327,0,,,
-35.933,137.102,34.1,,,
-32.82,124.286,574.9,,,
-32.786,124.297,199,,,
-32.751,124.096,59.4,,,
-32.632,123.256,227.7,,,
-32.617,123.291,201.1,,,
-32.609,123.253,88.6,,,
-32.687,122.287,306,,,
-32.668,122.348,74.8,,,
-32.656,122.347,159.3,,,
-32.581,123.042,207.6,,,
-32.596,123.056,148.5,,,
-32.651,122.36,940.2,,,
-32.639,122.359,736.4,,,
-32.627,122.357,123.9,,,
-32.616,122.335,274.8,,,
-32.516,123.14,1746,,,
-32.503,123.157,405.3,,,
-32.483,123.117,223.3,,,
-32.492,123.075,205.4,,,
-32.395,123.694,240.3,,,
-32.453,122.994,64.9,,,
-32.395,123.1,170.2,,,
-32.303,123.23,45.5,,,
-31.944,121.63,91.3,,,
-31.939,121.537,246.9,,,
-31.909,121.416,144.5,,,
-31.894,121.48,309.7,,,
-36.925,146.608,9.2,,,
-36.826,146.732,16.6,,,
-36.81,146.722,10.2,,,
-36.896,146.893,5.9,,,
-36.795,146.626,5.2,,,
-36.75,146.686,21,,,
-36.723,146.616,3.8,,,
-36.36,148.056,7.2,,,
-36.366,147.773,7.7,,,
-35.958,148.217,4.4,,,
-35.919,148.051,8.9,,,
-35.886,147.967,11.3,,,
-35.841,147.651,23.1,,,
-35.822,147.59,8.5,,,
-35.801,147.608,9.8,,,
-35.647,148.5,24,,,
-35.544,148.505,19.2,,,
-35.552,148.407,128.2,,,
-35.541,148.357,16.3,,,
-35.499,148.324,16.9,,,
-35.259,147.85,9.9,,,
-35.776,136.598,61.5,,,
-31.182,149.239,6.1,,,
-27.314,147.995,7.9,,,
-19.871,144.312,6.3,,,
-18.211,144.083,7.9,,,
-36.645,146.597,197.2,,,
-36.637,146.561,153.4,,,
-35.555,148.454,20,,,
-18.204,144.099,23,,,
-35.657,137.128,58.7,,,
-35.564,145.548,900.3,,,
